name,parkCode,state,longitude,latitude,totalSites,tentOnly,electricalHookups,showers,dumpStation,host,potableWater,firewoodForSale,reservationUrl
Avalanche,glac,MT,-113.8185251,48.67654586,87,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/258796
Bowman Lake,glac,MT,-114.2031304,48.8290465,48,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,
Cut Bank,glac,MT,-113.3769497,48.60599159,14,0,0,['None'],No,No,['No water'],No,
Dayboard 9 Campground,bica,MT,-108.0028519,45.2651648,5,5,0,['None'],No,No,['No water'],No,
Fish Creek,glac,MT,-113.9829627,48.55013132,178,4,0,['Hot - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/232493
Kintla Lake,glac,MT,-114.34593,48.93574521,13,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,
Logging Creek,glac,MT,-114.1916556,48.69845476,7,0,0,['None'],No,No,['No water'],No,
Many Glacier,glac,MT,-113.6776197,48.79649572,109,8,0,['Coin-Operated - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/251869
Quartz Creek,glac,MT,-114.2242733,48.72260991,7,0,0,['None'],No,No,['No water'],No,
Rising Sun,glac,MT,-113.5226844,48.69453217,84,0,0,['Coin-Operated - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,
Sprague Creek Campground,glac,MT,-113.8854134,48.60561742,25,0,0,['None'],Yes - seasonal,No,['Yes - seasonal'],No,https://www.recreation.gov/camping/poi/258795
St. Mary,glac,MT,-113.4424052,48.75167903,148,7,0,['Hot - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/232492
Two Medicine,glac,MT,-113.3640712,48.49211497,100,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/258799
Davis Bayou Campground,guis,MS,-88.795595,30.397808,52,3,52,['Hot - Year Round'],Yes - year round,Yes - seasonal,['Yes - year round'],No,
"Jeff Busby Campground, Milepost 193.1",natr,MS,-89.26737098,33.41716405,18,0,0,['None'],No,Yes - seasonal,['Yes - year round'],No,
"Rocky Springs Campground, Milepost 54.8",natr,MS,-90.79884008,32.08743115,22,0,0,['None'],No,Yes - seasonal,['Yes - year round'],No,
American Memorial Park,amme,MP,,,0,0,0,[],,,[],,
Akers Group Campground,ozar,MO,-91.56154633,37.37645519,4,4,0,['None'],No,No,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/234442
Alley Spring Campground,ozar,MO,-91.449767,37.148223,162,3,28,"['Free - Seasonal', 'Hot - Year Round']",Yes - year round,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/234046
Big Spring Campground,ozar,MO,-90.98586951,36.96099385,123,3,23,"['Hot - Seasonal', 'Free - Seasonal']",Yes - year round,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234044
Pulltite Campground,ozar,MO,-91.46537304,37.33946674,55,3,0,"['Free - Seasonal', 'Hot - Year Round']",No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/234357
Round Spring Campground,ozar,MO,-91.4068743,37.2795173,55,2,6,"['Free - Seasonal', 'Hot - Year Round']",Yes - year round,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/234045
Two Rivers Campground,ozar,MO,-91.276297,37.189929,22,5,0,"['Hot - Seasonal', 'Free - Seasonal']",No,No,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/234441
Backcountry Camping,whsa,MN,-106.264225,32.809869,10,10,0,['None'],No,No,['No water'],No,
Birch Island Campground,isro,MN,-88.68562292,48.11010773,2,1,0,['None'],No,No,"['Water', ' but not potable']",No,
Fort Charlotte Backcountry Campgrounds,grpo,MN,-89.8283403,48.0036881,2,2,0,['None'],No,No,"['Water', ' but not potable']",No,https://www.nps.gov/grpo/planyourvisit/fort-charlotte-camping-permit-application.htm
Island Mine Campground,isro,MN,-89.03997478,47.93022395,6,4,0,['None'],No,No,"['Water', ' but not potable']",No,
Bay Campground - South Manitou Island,slbe,MI,-86.102772,45.018882,28,28,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/232456
Beaver Island Campground,isro,MI,-89.17433647,47.90406144,3,0,0,['None'],No,No,"['Water', ' but not potable']",No,
Belle Isle Campground,isro,MI,-88.58598761,48.15235178,7,1,0,['None'],No,Yes - seasonal,"['Water', ' but not potable']",No,
Black Canyon Campground,bica,MI,-107.9626037,45.25091803,17,17,0,['None'],No,Yes - seasonal,['No water'],No,
Caribou Island Campground,isro,MI,-88.57220405,48.09457121,3,1,0,['None'],No,No,"['Water', ' but not potable']",No,
Chippewa Harbor Campground,isro,MI,-88.65103791,48.02936725,7,2,0,['None'],No,No,"['Water', ' but not potable']",No,
D. H. Day Campground,slbe,MI,-86.02006,44.89615,87,23,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/259242
D. H. Day Campground Group Campground,slbe,MI,-86.02006,44.89615,4,4,0,['None'],No,No,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/232457
Daisy Farm Campground,isro,MI,-88.59622128,48.09208065,25,6,0,['None'],No,Yes - seasonal,"['Water', ' but not potable']",No,
Duncan Bay Campground,isro,MI,-88.52247087,48.15063311,3,1,0,['None'],No,No,"['Water', ' but not potable']",No,
Duncan Narrows Campground,isro,MI,-88.47796476,48.16931212,3,1,0,['None'],No,No,"['Water', ' but not potable']",No,
East Chickenbone Campground,isro,MI,-88.69425862,48.07343751,4,3,0,['None'],No,No,"['Water', ' but not potable']",No,
Feldtmann Lake Campground,isro,MI,-89.18297186,47.84857314,7,5,0,['None'],No,No,"['Water', ' but not potable']",No,
Grace Island Campground,isro,MI,-89.21635637,47.88249029,2,0,0,['None'],No,No,"['Water', ' but not potable']",No,
Hatchet Lake Campground,isro,MI,-88.85081645,48.02113448,8,5,0,['None'],No,No,"['Water', ' but not potable']",No,
Hay Bay Campground,isro,MI,-88.93999433,47.93386908,1,1,0,['None'],No,No,"['Water', ' but not potable']",No,
Huginnin Cove Campground,isro,MI,-89.17647822,47.93427202,5,5,0,['None'],No,No,"['Water', ' but not potable']",No,
Hurricane River Campground,piro,MI,-86.1661587,46.663953,21,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/247603
Intermediate Lake Campground,isro,MI,-88.72265855,48.0337769,3,3,0,['None'],No,No,"['Water', ' but not potable']",No,
Lake Richie Campground,isro,MI,-88.68736052,48.05134221,6,4,0,['None'],No,No,"['Water', ' but not potable']",No,
Lake Richie Canoe Campground,isro,MI,-88.70018996,48.04382454,3,3,0,['None'],No,No,"['Water', ' but not potable']",No,
Lake Whittlesey Campground,isro,MI,-88.70708523,48.00762855,3,3,0,['None'],No,No,"['Water', ' but not potable']",No,
Lane Cove Campground,isro,MI,-88.55767855,48.14490683,5,5,0,['None'],No,No,"['Water', ' but not potable']",No,
Little Beaver Lake Campground,piro,MI,-86.3638,46.5575,8,0,0,['None'],No,No,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/246856
Little Todd Campground,isro,MI,-88.92666555,48.02025596,4,4,0,['None'],No,No,"['Water', ' but not potable']",No,
Malone Bay Campground,isro,MI,-88.8072267,47.98524426,7,0,0,['None'],No,No,"['Water', ' but not potable']",No,
McCargoe Cove Campground,isro,MI,-88.70934935,48.08719605,12,3,0,['None'],No,No,"['Water', ' but not potable']",No,
Merritt Lane Campground,isro,MI,-88.42965713,48.18459316,2,1,0,['None'],No,No,"['Water', ' but not potable']",No,
Moskey Basin Campground,isro,MI,-88.64516328,48.06298075,10,2,0,['None'],No,No,"['Water', ' but not potable']",No,
North Desor Campground,isro,MI,-88.99386541,47.98085044,3,3,0,['None'],No,No,"['Water', ' but not potable']",No,
Pickerel Cove Campground,isro,MI,-88.65218294,48.12451696,1,1,0,['None'],No,No,"['Water', ' but not potable']",No,
Platte River Campground,slbe,MI,-86.119114,44.71551,179,0,96,"['Hot - Year Round', 'Free - Year Round']",Yes - seasonal,Yes - seasonal,['Yes - year round'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232458
Rock Harbor Campground,isro,MI,-88.48932435,48.14543517,23,11,0,"['Hot - Seasonal', 'Coin-Operated - Seasonal']",Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,
Siskiwit Bay Campground,isro,MI,-88.99876148,47.89044497,9,4,0,['None'],No,No,"['Water', ' but not potable']",No,
South Lake Desor Campground,isro,MI,-88.97153792,47.9706861,10,7,0,['None'],No,No,"['Water', ' but not potable']",No,
Three Mile Campground,isro,MI,-88.52961949,48.12385213,15,4,0,['None'],No,No,"['Water', ' but not potable']",No,
Todd Harbor Campground,isro,MI,-88.82111716,48.0508065,9,5,0,['None'],No,No,"['Water', ' but not potable']",No,
Tookers Island Campground,isro,MI,-88.50329335,48.12939103,2,0,0,['None'],No,No,"['Water', ' but not potable']",No,
Twelvemile Beach Campground,piro,MI,-86.21583,46.6408,36,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/247602
Blackwoods Campground,acad,ME,-68.20988547,44.30894404,281,221,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/232508
Duck Harbor Campground,acad,ME,-68.6535294,44.0277949,5,5,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/264293
Esker Campsite,kaww,ME,-68.67959099,45.90839601,1,1,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10145539
Haskell Hut,kaww,ME,-68.77007903,46.07962365,1,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10145539
Lunksoos Campsites,kaww,ME,-68.613925,45.908436,7,7,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10145539
Sandbank Stream Campground,kaww,ME,-68.67453987,45.86275726,3,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10145539
Schoodic Woods Campground,acad,ME,-68.0665938,44.380063,89,13,78,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/251833
Seawall Campground,acad,ME,-68.3051439,44.2415647,202,43,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234674
Upper East Branch Campsite,kaww,ME,-68.79791,46.11382,1,1,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10145539
Adirondack Shelters,cato,MD,-77.4846272,39.67775042,2,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/233321?q=Adirondack%20Shelters
Back Country Camping - Green Run,asis,MD,-75.2135101,38.0799523,1,1,0,['None'],Yes - year round,Yes - seasonal,['No water'],Yes - seasonal,
Back Country Camping - Pine Tree,asis,MD,-75.1883865,38.1432381,1,1,0,['None'],Yes - year round,Yes - seasonal,['No water'],Yes - seasonal,
Back Country Camping - Pope Bay,asis,MD,-75.2341248,38.0477906,1,1,0,['None'],Yes - year round,No,['No water'],No,
Back Country Camping - Tingles Island,asis,MD,-75.175432,38.177712,1,1,0,['None'],Yes - seasonal,Yes - seasonal,['No water'],Yes - seasonal,
Bald Eagle Island Hiker-Biker Campsite,choh,MD,-77.557168,39.299834,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Bayside Drive-in Campground,asis,MD,-75.1593791,38.2077371,22,0,0,"['Cold- Seasonal', 'Free - Seasonal']",Yes - year round,Yes - seasonal,['Yes - year round'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232507
Big Woods Hiker-Biker Campsite,choh,MD,-77.792591,39.492868,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Cacapon Junction Hiker-Biker Campsite,choh,MD,-78.279305,39.621284,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Calico Rocks Hiker-Biker Campsite,choh,MD,-77.535582,39.271168,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Camp Greentop,cato,MD,-77.47656473,39.64454144,16,0,0,['Hot - Seasonal'],No,No,['Yes - year round'],Yes - seasonal,http://www.nps.gov/cato/planyourvisit/greentop.htm
Camp Misty Mount,cato,MD,-77.44844895,39.64188515,30,0,0,['Hot - Seasonal'],No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/233241?q=Camp%20Misty%20Mount
Camp Round Meadow,cato,MD,-77.4876281,39.64491698,1,0,0,['Hot - Year Round'],No,No,['Yes - year round'],Yes - year round,https://www.recreation.gov/camping/campgrounds/251264?q=Camp%20Round%20Meadow
Chisel Branch Hiker-Biker Campsite,choh,MD,-77.473011,39.102158,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Cumberland Valley Hiker-Biker Campsite,choh,MD,-77.853069,39.562141,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Devils Alley Hiker-Biker Campsite,choh,MD,-78.411328,39.622156,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Evitts Creek Hiker-Biker Campsite,choh,MD,-78.73259,39.616979,1,0,0,['None'],No,No,['Yes - seasonal'],No,
Greenbelt Park Campground,gree,MD,-76.89841,38.97908,172,30,0,"['Hot - Year Round', 'Free - Year Round']",Yes - year round,Yes - year round,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/232474
Horse camping,asis,MD,-75.157471,38.192821,2,6,0,"['Cold- Seasonal', 'Free - Seasonal']",Yes - year round,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,
Horsepen Branch Hiker-Biker Campsite,choh,MD,-77.398038,39.06938,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Horseshoe Bend Hiker-Biker Campsite,choh,MD,-77.774341,39.486903,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Huckleberry Hill Hiker-Biker Campsite,choh,MD,-77.75747,39.34152,0,0,0,[],,,[],,
Indian Flats Hiker-Biker Campsite,choh,MD,-77.462711,39.233516,0,0,0,[],,,[],,
Indigo Neck Hiker-Biker Campsite,choh,MD,-78.358666,39.626697,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Irons Mountain Hiker-Biker Campsite,choh,MD,-78.735584,39.587479,0,0,0,['None'],No,No,['Yes - seasonal'],No,
Jordan Junction Hiker-Biker Campsite,choh,MD,-77.85283,39.609192,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Killiansburg Cave Hiker-Biker Campsite,choh,MD,-77.796583,39.459202,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Leopards Mill Hiker-Biker Campsite,choh,MD,-78.2401552,39.65192764,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Licking Creek Hiker-Biker Campsite,choh,MD,-78.048776,39.650294,0,0,0,[],,,[],,
Little Pool Hiker-Biker Campsite,choh,MD,-78.113125,39.684776,0,0,0,[],,,[],,
Marble Quarry Hiker-Biker Campsite,choh,MD,-77.492708,39.179558,1,1,0,['None'],No,No,['Yes - seasonal'],No,
North Mountain Hiker-Biker Campsite,choh,MD,-77.959636,39.610663,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Oceanside Drive-in Campground,asis,MD,-75.1538651,38.2016106,16,0,0,"['Cold- Seasonal', 'Free - Seasonal']",Yes - year round,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232507
Oceanside Group Campground,asis,MD,-75.1524,38.20377,5,5,0,"['Cold- Seasonal', 'Free - Seasonal']",Yes - year round,Yes - seasonal,['Yes - year round'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232507
Oceanside Walk-in campground,asis,MD,-75.1564668,38.1948063,21,21,0,"['Cold- Seasonal', 'Free - Seasonal']",Yes - year round,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232507
Opequon Junction Hiker-Biker Campsite,choh,MD,-77.860112,39.515933,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Owens Creek Campground,cato,MD,-77.48664256,39.65968699,50,0,0,"['Hot - Seasonal', 'Free - Seasonal']",No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/247762?q=Owens%20Creek%20Campground
Pigmans Ferry Hiker-Biker Campsite,choh,MD,-78.650428,39.538958,0,0,0,[],,,[],,
Potomac Forks Hiker-Biker Campsite,choh,MD,-78.588975,39.53094,0,0,0,[],,,[],,
Purslane Run Hiker-Biker Campsite,choh,MD,-78.464149,39.535244,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Sorrel Ridge Hiker-Biker Campsite,choh,MD,-78.453213,39.571699,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Stickpile Hill Hiker-Biker Campsite,choh,MD,-78.397693,39.583599,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Swains Lock Hiker-Biker Campsite,choh,MD,-77.244579,39.031002,5,5,0,['None'],No,No,['Yes - seasonal'],No,
Town Creek Hiker-Biker Campsite,choh,MD,-78.538643,39.524461,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Turtle Run Hiker-Biker Campsite,choh,MD,-77.515673,39.139288,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Alum Ford Campground,biso,KY,-84.54633757,36.76403375,6,6,0,['None'],No,No,['No water'],No,
Bear Creek Horse Camp,biso,KY,-84.52438967,36.64236975,23,23,23,['Hot - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/251468?q=Bear%20Creek%20Horse%20Camp
Blue Heron Campground,biso,KY,-84.51850557,36.67753545,45,45,45,['Hot - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/232505?q=Blue%20Heron%20Campground
Houchin Ferry Campground,maca,KY,-86.2377215,37.2016901,12,12,0,['None'],No,No,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/258992
Mammoth Cave Campground,maca,KY,-86.0970431,37.1821894,111,0,0,['Hot - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232467
Maple Springs Group Campground,maca,KY,-86.136092,37.204205,7,0,7,['None'],No,No,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/232468
Dunbar Group Site,indu,IN,-87.00171411,41.68266003,1,10,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10177496
Dunewood Campground,indu,IN,-86.983786,41.671966,66,66,0,"['Hot - Seasonal', 'Cold- Seasonal', 'Free - Seasonal']",Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/258887
City of Rocks Campground,ciro,ID,-113.701382,42.067203,67,49,0,['None'],No,No,['Yes - seasonal'],No,https://www.reserveamerica.com/explore/city-of-rocks-national-reserve/ID/315044/overview
Lava Flow Campground,crmo,ID,-113.5591319,43.46070031,42,0,0,['None'],No,No,['Yes - seasonal'],No,
Smoky Mountain Campground,ciro,ID,-113.651634,42.0755503,38,0,38,['Hot - Seasonal'],Yes - year round,Yes - seasonal,['Yes - seasonal'],No,https://www.reserveamerica.com/explore/castle-rocks-state-park/ID/315045/overview
Hosmer Grove Campground,hale,HI,-156.237592,20.768155,6,6,0,['None'],No,No,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/10068557
Kulanaokuaiki,havo,HI,-155.2740764,19.34366665,9,9,0,['None'],No,No,['No water'],No,
Kīpahulu Campground,hale,HI,-156.044492,20.659705,9,9,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10068563
Nāmakanipaio,havo,HI,-155.2958787,19.42537365,16,16,0,['None'],No,No,['Yes - year round'],Yes - year round,
Bear Island Campground,bicy,FL,-81.24747527,26.18323975,40,0,0,[],,,[],,https://www.recreation.gov
Boca Chita Campground,bisc,FL,-80.1746,25.5231,60,60,0,"['Cold- Seasonal', 'Free - Seasonal']",No,No,"['Water', ' but not potable']",No,
Burns Lake,bicy,FL,-81.22976967,25.89311885,0,0,0,['None'],No,Yes - seasonal,['No water'],No,https://www.recreation.gov/camping/campgrounds/246890
Canaveral National Seashore Backcountry Island Camping,cana,FL,-80.82460297,28.92700096,14,14,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/251854/itinerary
Flamingo Campground,ever,FL,-80.938773,25.137212,274,274,41,"['Free - Year Round', 'Hot - Year Round']",Yes - year round,Yes - year round,['Yes - year round'],Yes - year round,https://flamingoeverglades.com/camping/
Fort Pickens Campground,guis,FL,-87.27597278,30.32320835,200,20,200,['Hot - Year Round'],Yes - year round,Yes - year round,['Yes - year round'],No,
Garden Key Campground,drto,FL,-82.87340644,24.62701096,8,8,0,['None'],No,Yes - year round,['No water'],No,
Gator Head,bicy,FL,-81.26775567,26.22381755,9,9,0,['None'],No,Yes - seasonal,['No water'],No,
Long Pine Key Campground,ever,FL,-80.65696978,25.39790023,108,108,0,"['Free - Year Round', 'Hot - Year Round']",Yes - year round,Yes - seasonal,['Yes - year round'],No,https://flamingoeverglades.com/camping/
Midway Campground,bicy,FL,-80.989444,25.851926,36,10,26,['None'],Yes - year round,Yes - year round,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/246892
Mitchell's Landing,bicy,FL,-80.93059818,25.75644965,11,0,0,['None'],No,Yes - seasonal,['No water'],No,https://www.recreation.gov
Monument Lake,bicy,FL,-81.11313148,25.86846635,36,10,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/246894
Naval Live Oaks Youth Group Camping,guis,FL,-87.14231198,30.36898925,1,0,0,[],,,[],,
Pinecrest,bicy,FL,-80.91806307,25.76155555,4,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/246895
Pink Jeep,bicy,FL,-81.29514338,26.21633105,9,9,0,['None'],No,Yes - seasonal,['No water'],No,
Aspenglen Campground,romo,CO,-105.5930545,40.39934771,52,13,0,['None'],No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/233187
Backpacking Campsites in the Dunes or Forest,grsa,CO,-105.535601,37.77724,27,27,0,['None'],No,No,['Yes - seasonal'],No,https://www.recreation.gov/permits/4675316
Deerlodge Park Campground,dino,CO,-108.5133041,40.44648076,7,7,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,
East Portal Campground,blca,CO,-107.649306,38.526896,15,10,0,['None'],No,No,['Yes - seasonal'],No,
Echo Park Campground,dino,CO,-108.9932307,40.52086684,22,17,0,['None'],No,No,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/259557
Gates of Lodore Campground,dino,CO,-108.8878244,40.72492348,19,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,
Glacier Basin Campground,romo,CO,-105.5956293,40.32980715,150,73,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232462
Hovenweep Campground,hove,CO,-109.070815,37.38320327,31,0,0,['None'],No,No,['Yes - seasonal'],No,
Moraine Park Campground,romo,CO,-105.6000662,40.3606615,244,101,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - year round'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232463
Morefield Campground,meve,CO,-108.4179125,37.30149927,267,85,15,"['Hot - Seasonal', 'Free - Seasonal']",Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.visitmesaverde.com/lodging-camping/morefield-campground/
North Rim Campground,blca,CO,-107.7094278,38.58518333,13,0,0,['None'],No,No,['Yes - seasonal'],No,
Piñon Flats Campground,grsa,CO,-105.5047031,37.74493686,91,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/234685
Saddlehorn Campground,colm,CO,-108.7325753,39.10560329,80,0,0,['None'],No,Yes - seasonal,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/234778
South Rim Campground,blca,CO,-107.6894241,38.54381032,88,0,23,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234052
Timber Creek Campground,romo,CO,-105.8527514,40.37922514,98,30,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/260552?tab=campsites
Anacapa Island Campground,chis,CA,-119.3677631,34.01434265,7,7,0,['None'],No,Yes - year round,['No water'],No,https://www.recreation.gov/camping/campgrounds/232502
Atwell Mill Campground,seki,CA,-118.6696722,36.46466812,21,21,0,['None'],No,No,['Yes - seasonal'],No,
Azalea Campground,seki,CA,-118.9677768,36.74133435,110,0,0,['None'],No,Yes - seasonal,['Yes - year round'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/10124502
Belle Campground,jotr,CA,-116.019762,34.00193735,18,0,0,['None'],No,No,['No water'],No,
Bicentennial Campground,goga,CA,-122.5267255,37.82457211,3,3,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/272229
Black Canyon Group and Equestrian Campground,moja,CA,-115.3829568,35.04862556,2,0,0,['None'],No,No,['Yes - year round'],No,
Brandy Creek,whis,CA,-122.5749567,40.61739333,2,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/272250
Brandy Creek RV,whis,CA,-122.57476,40.61705,15,0,0,['None'],Yes - year round,Yes - seasonal,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/10047085?q=Brandy%20Creek%20Rv%20Campground
Buckeye Flat Campground,seki,CA,-118.7641065,36.52243302,27,27,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/249982
Butte Lake Campground,lavo,CA,-121.3057643,40.56480116,101,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234156
Canyon View Campground,seki,CA,-118.6654493,36.78719294,16,0,0,['None'],No,No,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/234753
Circle X Ranch Campground - CLOSED,samo,CA,-118.9265255,34.111279,1,0,0,['None'],No,Yes - year round,['No water'],No,https://www.recreation.gov/camping/campgrounds/233381
Coast Campground,pore,CA,-122.8543753,38.01717281,14,14,0,['None'],No,No,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/233359
Cold Springs Campground,seki,CA,-118.6124106,36.45130196,40,40,0,['None'],No,No,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/246864
Cottonwood Campground,jotr,CA,-115.8128299,33.74488013,62,0,0,['None'],Yes - year round,No,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/272299
Crystal Creek,whis,CA,-122.6710333,40.6422,2,2,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/272247
Crystal Springs Campground,seki,CA,-118.9629581,36.74532774,50,0,0,['None'],No,No,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/251008
Dorst Creek Campground,seki,CA,-118.8085026,36.63617121,222,12,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/232460
